"Restaurant ID","Restaurant name","Subzone","City","Overview","Metric","15 Jun, 2026"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Ads","Ads CTR (%)","6.8"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Ads","Ads impressions","1865"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Ads","Ads menu opens","127"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Ads","Ads orders","12"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Ads","Ads spend (Rs)","981.0000915527344"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Ads","Ads ROI","7.44444374968483"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Offers","Orders with offers","3935.71"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Offers","Gross sales from offers (Rs)","8"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Offers","Discount given (Rs)","524.4199914932251"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Offers","Effective discount (%)","13.324660523721784"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Sales","Delivered orders","1"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Sales","Sales (Rs)","507.45001220703125"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Sales","Market share (%)","0"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer experience","Average rating","4"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer experience","Rated orders","0"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer experience","Bad orders","0"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer experience","Rejected orders","0"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer experience","KPT+10 delayed orders","0"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer experience","Poor rated orders","0"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer experience","Total complaints","0"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer experience","Non-refunded complaints","0"
